USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.1  23044 14472 ?        Ss   15:56   0:01 /sbin/init splash
root          81  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/34-pciehp]
root          82  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/35-pciehp]
root          83  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/36-pciehp]
root          84  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/37-pciehp]
root          85  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/38-pciehp]
root          86  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/39-pciehp]
root          87  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/40-pciehp]
root          88  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/41-pciehp]
root          89  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/42-pciehp]
root          90  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/43-pciehp]
root          91  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/44-pciehp]
root          92  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/45-pciehp]
root          93  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/46-pciehp]
root          94  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/47-pciehp]
root          95  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/48-pciehp]
root          96  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/49-pciehp]
root          97  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/50-pciehp]
root          98  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/51-pciehp]
root          99  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/52-pciehp]
root         100  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/53-pciehp]
root         101  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/54-pciehp]
root         102  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/55-pciehp]
root         103  0.0  0.0      0     0 ?        S    15:56   0:00 [irq/56-pciehp]
root         104  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-acpi_thermal_pm]
root         105  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_0]
root         106  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_0]
root         107  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_1]
root         108  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_1]
root         111  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-mld]
root         113  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-ipv6_addrconf]
root         114  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-kstrp]
root         127  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-charger_manager]
root         162  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/2:1H-kblockd]
root         181  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/3:1H-kblockd]
root         185  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-mpt_poll_0]
root         188  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-mpt/0]
root         192  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_2]
root         193  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_2]
root         196  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_3]
root         198  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_3]
root         199  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_4]
root         201  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_4]
root         203  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_5]
root         204  0.0  0.0      0     0 ?        I<   15:56   0:00 [kworker/R-scsi_tmf_5]
root         206  0.0  0.0      0     0 ?        S    15:56   0:00 [scsi_eh_6]
